sifra,naziv,razina
50.10.11,Usluge pomorskog i obalnog prijevoza putnika trajektima,5
50.10.12,Usluge pomorskog i obalnog prijevoza putnika brodovima za kružna putovanja,5
50.10.19,"Usluge pomorskog i obalnog prijevoza putnika, d. n.",5
50.10.2,Usluge iznajmljivanja pomorskih putničkih brodova s posadom,4
50.10.20,Usluge iznajmljivanja pomorskih putničkih brodova s posadom,5
50.2,Usluge pomorskog i obalnog prijevoza robe,2
50.20,Usluge pomorskog i obalnog prijevoza robe,3
50.20.1,"Usluge pomorskog i obalnog prijevoza robe, osim usluga iznajmljivanja",4
50.20.11,Usluge pomorskog i obalnog prijevoza zamrznute i hlađene robe brodovima hladnjačama,5
50.20.12,Usluge pomorskog i obalnog prijevoza sirove nafte tankerima,5
50.20.13,Usluge pomorskog i obalnog prijevoza ostalih tekućina i plinova tankerima,5
50.20.14,Usluge pomorskog i obalnog prijevoza intermodalnih kontejnera kontejnerskim brodovima,5
50.20.15,Usluge pomorskog i obalnog prijevoza krute rasute robe,5
50.20.19,"Usluge pomorskog i obalnog prijevoza robe, d. n.",5
50.20.2,Usluge iznajmljivanja pomorskih teretnih brodova s posadom; usluge tegljenja i potiskivanja,4
50.20.21,Usluge iznajmljivanja pomorskih teretnih brodova s posadom,5
50.20.22,Usluge tegljenja i potiskivanja na morskim i obalnim vodama,5
50.3,Usluge prijevoza putnika unutarnjim vodnim putovima,2
50.30,Usluge prijevoza putnika unutarnjim vodnim putovima,3
50.30.1,"Usluge prijevoza putnika unutarnjim vodnim putovima, osim usluga iznajmljivanja",4
50.30.11,Usluge prijevoza putnika trajektima unutarnjim vodnim putovima,5
50.30.12,Usluge prijevoza putnika brodovima za kružna putovanja unutarnjim vodnim putovima,5
50.30.13,Usluge prijevoza putnika čamcima za razgledavanje i izlete unutarnjim vodnim putovima,5
50.30.19,"Usluge prijevoza putnika unutarnjim vodnim putovima, d. n.",5
50.30.2,Usluge iznajmljivanja riječnih putničkih brodova s posadom,4
50.30.20,Usluge iznajmljivanja riječnih putničkih brodova s posadom,5
50.4,Usluge prijevoza robe unutarnjim vodnim putovima,2
50.40,Usluge prijevoza robe unutarnjim vodnim putovima,3
50.40.1,"Usluge prijevoza robe unutarnjim vodnim putovima, osim usluga iznajmljivanja",4
50.40.11,Usluge prijevoza zamrznute i hlađene robe brodovima hladnjačama unutarnjim vodnim putovima,5
50.40.12,Usluge prijevoza sirove nafte tankerima unutarnjim vodnim putovima,5
50.40.13,Usluge prijevoza ostalih tekućina i plinova tankerima unutarnjim vodnim putovima,5
50.40.14,Usluge prijevoza kontejnera kontejnerskim brodovima unutarnjim vodnim putovima,5
50.40.19,"Usluge prijevoza robe unutarnjim vodnim putovima, d. n.",5
50.40.2,Usluge iznajmljivanja teretnih riječnih brodova s posadom; usluge tegljenja i potiskivanja,4
50.40.21,Usluge iznajmljivanja teretnih riječnih brodova s posadom,5
50.40.22,Usluge tegljenja i potiskivanja na unutarnjim vodnim putovima,5
51,Usluge zračnog prijevoza,1
51.1,Usluge zračnog prijevoza putnika,2
51.10,Usluge zračnog prijevoza putnika,3
51.10.1,"Usluge zračnog prijevoza putnika, osim usluga iznajmljivanja",4
51.10.11,Usluge redovitog zračnog prijevoza putnika na domaćim linijama,5
51.10.12,"Usluge izvanrednog zračnog prijevoza putnika na domaćim linijama, osim za razgledavanje",5
51.10.13,Usluge redovitog zračnog prijevoza putnika na međunarodnim linijama,5
51.10.14,Usluge izvanrednog zračnog prijevoza putnika na međunarodnim linijama,5
51.10.15,Usluge izvanrednog zračnog prijevoza putnika za razgledavanje,5
51.10.2,Usluge iznajmljivanja putničkog zrakoplova s posadom,4
51.10.20,Usluge iznajmljivanja putničkog zrakoplova s posadom,5
51.2,Usluge zračnog prijevoza robe i svemirskog prijevoza,2
51.21,Usluge zračnog prijevoza robe,3
51.21.1,"Usluge zračnog prijevoza robe, osim usluga iznajmljivanja",4
51.21.11,Usluge redovitog zračnog prijevoza kontejnera,5
51.21.12,Usluge zračnog prijevoza pošiljki,5
51.21.13,Usluge redovitog zračnog prijevoza ostale robe,5
51.21.14,Usluge izvanrednog zračnog prijevoza ostale robe,5
51.21.2,Usluge iznajmljivanja teretnog zrakoplova s posadom,4
51.21.20,Usluge iznajmljivanja teretnog zrakoplova s posadom,5
51.22,Usluge svemirskog prijevoza,3
51.22.0,Usluge svemirskog prijevoza,4
51.22.01,Usluge svemirskog prijevoza putnika,5
51.22.02,Usluge svemirskog prijevoza robe,5
52,Usluge skladištenja i prateće usluge u prijevozu,1
52.1,Usluge skladištenja,2
52.10,Usluge skladištenja,3
52.10.0,Usluge skladištenja,4
52.10.01,Usluge skladištenja u hladnjačama,5
52.10.02,Usluge skladištenja tekućina i plinova,5
52.10.03,Usluge skladištenja žitarica,5
52.10.09,"Usluge skladištenja, d. n.",5
52.2,Prateće usluge u prijevozu,2
52.21,Usluge u vezi s kopnenim prijevozom,3
52.21.1,Usluge u vezi sa željezničkim prijevozom,4
52.21.11,Usluge tegljenja i potiskivanja u željezničkom prijevozu,5
52.21.19,"Usluge u vezi sa željezničkim prijevozom, d. n.",5
52.21.2,Usluge u vezi s cestovnim prijevozom,4
52.21.21,Usluge autobusnih postaja,5
52.21.22,Usluge na autocestama,5
52.21.23,Usluge na mostovima i u tunelima,5
52.21.24,Usluge parkirališta,5
52.21.25,Usluge vučne službe za osobna i gospodarska vozila,5
52.21.29,"Usluge u vezi s cestovnim prijevozom, d. n.",5
52.21.3,Usluge u vezi s cjevovodnim transportom,4
52.21.30,Usluge u vezi s cjevovodnim transportom,5
52.22,Usluge u vezi s vodnim prijevozom,3
52.22.0,Usluge u vezi s vodnim prijevozom,4
52.22.01,Usluge pomorskih i priobalnih luka i plovnih putova (osim prekrcaja tereta),5
52.22.02,Usluge na unutarnjim vodnim putovima (osim prekrcaja tereta),5
52.22.03,Usluge pilotiranja i pristajanja brodova u morskim i obalnim vodama,5
52.22.04,Usluge pilotiranja i pristajanja brodova na unutarnjim vodnim putovima,5
52.22.05,Usluge spašavanja plovila i njihovo osposobljavanje za plovidbu u pomorskim i priobalnim vodama,5
52.22.06,Usluge spašavanja plovila i njihovo osposobljavanje za plovidbu na unutarnjim vodnim putovima,5
52.22.09,"Usluge u vezi s vodnim prijevozom, d. n.",5
52.23,Usluge u vezi sa zračnim prijevozom,3
52.23.1,"Usluge zračnih luka, usluge kontrole zračnog prometa i ostale usluge u vezi sa zračnim prijevozom",4
52.23.11,Usluge zračnih luka,5
52.23.12,Usluge kontrole zračnog prometa,5
52.23.13,Ostale uslužne djelatnosti u vezi sa zračnim prijevozom,5
52.23.2,Usluge u vezi sa svemirskim prijevozom,4
52.23.20,Usluge u vezi sa svemirskim prijevozom,5
52.24,Usluge prekrcaja tereta,3
52.24.0,Usluge prekrcaja tereta,4
52.24.01,Usluge prekrcaja kontejnera u lukama,5
52.24.02,Ostale usluge prekrcaja kontejnera,5
52.24.03,Ostale usluge prekrcaja tereta u lukama,5
52.24.09,"Usluge prekrcaja tereta, d. n.",5
52.25,Usluge logistike,3
52.25.0,Usluge logistike,4
52.25.00,Usluge logistike,5
52.26,Ostale prateće usluge u prijevozu,3
52.26.0,Ostale prateće usluge u prijevozu,4
52.26.00,Ostale prateće usluge u prijevozu,5
52.3,Usluge posredovanja u prijevozu,2
52.31,Usluge posredovanja u prijevozu robe,3
52.31.1,Usluge agencija za prijevoz robe,4
52.31.11,Usluge brodskih brokera,5
52.31.12,Ostale brokerske usluge kod prijevoza robe,5
52.31.19,"Usluge agencija za prijevoz robe, d. n.",5
52.31.2,Ostale usluge posredovanja u prijevozu robe,4
52.31.20,Ostale usluge posredovanja u prijevozu robe,5
52.32,Usluge posredovanja u prijevozu putnika,3
52.32.0,Usluge posredovanja u prijevozu putnika,4
52.32.00,Usluge posredovanja u prijevozu putnika,5
53,Poštanske i kurirske usluge,1
53.1,Univerzalne poštanske i kurirske usluge,2
53.10,Univerzalne poštanske i kurirske usluge,3
53.10.0,Univerzalne poštanske i kurirske usluge,4
53.10.01,Univerzalne poštanske usluge u vezi s novinama i časopisima,5
53.10.02,Univerzalne poštanske usluge u vezi s pismima,5
53.10.03,Univerzalne poštanske usluge u vezi s paketima,5
53.10.04,Poštanske šalterske usluge,5
53.10.09,"Univerzalne poštanske i kurirske usluge, d. n.",5
53.2,Ostale poštanske i kurirske usluge,2
53.20,Ostale poštanske i kurirske usluge,3
53.20.0,Ostale poštanske i kurirske usluge,4
53.20.01,Multimodalne kurirske usluge,5
53.20.02,Usluge dostave hrane na kućnu adresu,5
53.20.09,"Ostale poštanske i kurirske usluge, d. n.",5
53.3,Usluge posredovanja u pružanju poštanskih i kurirskih usluga,2
53.30,Usluge posredovanja u pružanju poštanskih i kurirskih usluga,3
53.30.0,Usluge posredovanja u pružanju poštanskih i kurirskih usluga,4
53.30.00,Usluge posredovanja u pružanju poštanskih i kurirskih usluga,5
I,USLUGE SMJEŠTAJA TE PRIPREME I USLUŽIVANJA HRANE,0
55,Usluge smještaja,1
55.1,Usluge hotelskog i sličnog smještaja,2
55.10,Usluge hotelskog i sličnog smještaja,3
55.10.0,Usluge hotelskog i sličnog smještaja,4
55.10.00,Usluge hotelskog i sličnog smještaja,5
55.2,Usluge odmarališta i sličnih objekata za kraći odmor,2
55.20,Usluge odmarališta i sličnih objekata za kraći odmor,3
55.20.0,Usluge odmarališta i sličnih objekata za kraći odmor,4
55.20.01,"Usluge smještaja u sobama ili sličnim smještajnim kapacitetima, u hostelima i kućicama za odmor",5
55.20.02,Usluge smještaja u sobama ili sličnim smještajnim kapacitetima u time-sharingu,5
55.20.03,"Ostale usluge smještaja u sobama ili sličnim smještajnim kapacitetima, bez svakodnevnog održavanja",5
55.3,Usluge kampova i prostora za kampiranje,2
55.30,Usluge kampova i prostora za kampiranje,3
55.30.0,Usluge kampova i prostora za kampiranje,4
55.30.00,Usluge kampova i prostora za kampiranje,5
55.4,Usluge posredovanja u pružanju smještaja,2
55.40,Usluge posredovanja u pružanju smještaja,3
55.40.0,Usluge posredovanja u pružanju smještaja,4
55.40.00,Usluge posredovanja u pružanju smještaja,5
55.9,Ostale usluge smještaja,2
55.90,Ostale usluge smještaja,3
55.90.0,Ostale usluge smještaja,4
55.90.01,Usluge smještaja u sobama ili sličnim smještajnim kapacitetima u studentskim i školskim domovima,5
55.90.02,Usluge smještaja u sobama ili sličnim smještajnim kapacitetima u radničkim domovima,5
55.90.03,Usluge željezničkih vagona za spavanje i slične usluge u ostalim prijevoznim sredstvima,5
55.90.09,"Ostale usluge smještaja, d. n.",5
56,Usluge pripreme i usluživanja hrane i pića,1
56.1,Usluge restorana i pokretne usluge usluživanja hrane,2
56.11,Usluge restorana,3
56.11.0,Usluge restorana,4
56.11.01,Usluge usluživanja hrane s cjelokupnom uslugom restorana,5
56.11.02,Usluge samoposluživanja hrane u odgovarajućim ugostiteljskim objektima,5
56.11.03,Usluge usluživanja hrane u željezničkim vagonima za ručanje ili brodskim restoranima,5
56.11.09,"Usluge restorana, d. n.",5
56.12,Pokretne usluge usluživanja hrane,3
56.12.0,Pokretne usluge usluživanja hrane,4
56.12.00,Pokretne usluge usluživanja hrane,5
56.2,"Usluge keteringa za razna događanja, usluge keteringa na osnovi ugovora i ostale usluge pripreme i usluživanja hrane",2
56.21,Usluge keteringa za razna događanja,3
56.21.0,Usluge keteringa za razna događanja,4
56.21.01,Usluge keteringa za razna događanja za kućanstva,5
56.21.09,"Usluge keteringa za razna događanja, d. n.",5
56.22,Usluge keteringa na osnovi ugovora i ostale usluge pripreme i usluživanja hrane,3
56.22.1,Usluge dostave hrane na osnovi ugovora,4
56.22.11,Usluge dostave hrane na osnovi ugovora za prijevoznike,5
56.22.19,"Usluge dostave hrane na osnovi ugovora, d. n.",5
56.22.2,Usluge kantine,4
56.22.20,Usluge kantine,5
56.3,Usluge pripreme i usluživanja pića,2
56.30,Usluge pripreme i usluživanja pića,3
56.30.0,Usluge pripreme i usluživanja pića,4
56.30.00,Usluge pripreme i usluživanja pića,5
56.4,Usluge posredovanja u pripremi i usluživanju hrane i pića,2
56.40,Usluge posredovanja u pripremi i usluživanju hrane i pića,3
56.40.0,Usluge posredovanja u pripremi i usluživanju hrane i pića,4
56.40.00,Usluge posredovanja u pripremi i usluživanju hrane i pića,5
J,"IZDAVAČKE USLUGE, USLUGE EMITIRANJA TE PROIZVODNJE I DISTRIBUCIJE SADRŽAJA",0
58,Izdavačke usluge,1
58.1,"Usluge izdavanja knjiga, novina i ostale izdavačke usluge, osim izdavanja softvera",2
58.11,Usluge izdavanja knjiga,3
58.11.1,"Tiskane knjige, brošure, leci i slično",4
58.11.11,Tiskane obrazovne knjige,5
58.11.12,Tiskane knjige za djecu,5
58.11.13,Ostale tiskane knjige,5
58.11.14,"Brošure, leci i slično",5
58.11.2,E-knjige,4
58.11.20,E-knjige,5
58.11.3,Audioknjige,4
58.11.31,Audioknjige na fizičkim medijima,5
58.11.32,Audioknjige na internetu,5
58.11.4,Oglasni prostor u knjigama,4
58.11.41,Oglasni prostor u tiskanim knjigama,5
58.11.42,Oglasni prostor u elektroničkim knjigama,5
58.11.5,Izdavanje knjiga uz naplatu ili na osnovi ugovora,4
58.11.50,Izdavanje knjiga uz naplatu ili na osnovi ugovora,5
58.11.6,Usluge upravljanja autorskim pravima na knjige,4
58.11.61,Usluge upravljanja autorskim pravima na izdavanje knjiga,5
58.11.62,Usluge upravljanja autorskim pravima na korištenje sadržaja,5
58.12,Usluge izdavanja novina,3
58.12.1,Tiskane novine,4
58.12.10,Tiskane novine,5
58.12.2,Novine na internetu,4
58.12.20,Novine na internetu,5
58.12.3,Oglasni prostor u novinama,4
58.12.31,Oglasni prostor u tiskanim novinama,5
58.12.32,Oglasni prostor u elektroničkim novinama,5
58.13,Usluge izdavanja časopisa i periodičnih publikacija,3
58.13.1,Tiskani časopisi i periodične publikacije,4
58.13.11,Tiskani časopisi i periodične publikacije od općeg interesa,5
58.13.12,"Tiskani poslovni, stručni i akademski časopisi te periodične publikacije",5
58.13.13,Ostali tiskani časopisi i periodične publikacije,5
58.13.2,Časopisi i periodične publikacije na internetu,4
58.13.20,Časopisi i periodične publikacije na internetu,5
58.13.3,Oglasni prostor u časopisima i periodičnim publikacijama,4
58.13.31,Oglasni prostor u tiskanim časopisima i periodičnim publikacijama,5
58.13.32,Oglasni prostor u elektroničkim časopisima i periodičnim publikacijama,5
58.13.4,Usluge upravljanja autorskim pravima na časopise i periodične publikacije,4
58.13.40,Usluge upravljanja autorskim pravima na časopise i periodične publikacije,5
58.19,"Ostale izdavačke usluge, osim izdavanja softvera",3
58.19.1,"Ostale usluge izdavanja tiskanog materijala, osim imenika i popisa adresa",4
58.19.11,"Tiskane razglednice, čestitke i slično",5
58.19.12,"Tiskane slike, crteži i fotografije",5
58.19.13,"Papiri za preslikavanje (dekalkomanije), kalendari",5
58.19.14,"Tiskane neiskorištene poštanske marke, biljezi i slično; papir s utisnutim žigom; čekovi; banknote, dionice, obveznice i slični vrijednosni papiri",5
58.19.15,"Tiskani trgovački reklamni materijal, komercijalni katalozi i slično",5
58.19.16,Ostali tiskani materijal,5
58.19.2,"Ostali internetski sadržaji, osim imenika i popisa adresa",4
58.19.21,Internetski sadržaji za odrasle,5
58.19.29,"Ostali internetski sadržaji, d. n.",5
58.19.3,Usluge upravljanja autorskim pravima na ostale tiskane materijale,4
58.19.30,Usluge upravljanja autorskim pravima na ostale tiskane materijale,5
58.19.4,"Imenici i popisi adresa, tiskani ili na fizičkom mediju",4
58.19.41,"Bibliografske baze podataka, tiskane ili na fizičkom mediju",5
58.19.42,"Ostali imenici i popisi adresa, tiskani ili na fizičkom mediju",5
58.19.5,Imenici i popisi adresa na internetu,4
58.19.51,Bibliografske baze podataka na internetu,5
58.19.52,Ostali imenici i popisi adresa na internetu,5
58.19.6,Usluge upravljanja autorskim pravima na korištenje imenika i popisa adresa,4
58.19.60,Usluge upravljanja autorskim pravima na korištenje imenika i popisa adresa,5
58.19.7,Oglasni prostor u imenicima i popisima adresa,4
58.19.71,Oglasni prostor u tiskanim imenicima i popisima adresa,5
58.19.72,Oglasni prostor u elektroničkim imenicima i popisima adresa,5
58.2,Usluge izdavanja softvera,2
58.21,Usluge izdavanja videoigara,3
58.21.1,"Računalne igre, na fizičkom mediju",4
58.21.10,"Računalne igre, na fizičkom mediju",5
58.21.2,Računalne igre preuzete s interneta,4
58.21.20,Računalne igre preuzete s interneta,5
58.21.3,Igre na internetu,4
58.21.30,Igre na internetu,5
58.21.4,Usluge upravljanja autorskim pravima na računalne igre,4
58.21.41,Usluge upravljanja autorskim pravima na korištenje računalnih igara,5
58.21.42,Autorsko pravo na umnožavanje ili mogućnost dodavanja vlastitog sadržaja ili izmjene računalnih igara,5
58.21.5,Usluge posredovanja u izdavanju softvera,4
58.21.50,Usluge posredovanja u izdavanju softvera,5
58.29,Ostale usluge izdavanja softvera,3
58.29.1,"Sistemski i aplikacijski softver, na fizičkom mediju",4
58.29.11,"Sistemski softver, na fizičkom mediju",5
58.29.12,"Aplikacijski softver, na fizičkom mediju",5
58.29.2,Softver preuzet s interneta,4
58.29.21,"Operativni sustavi, preuzeti s interneta",5
58.29.22,"Mrežni softver, preuzet s interneta",5
58.29.23,"Softver za upravljanje bazom podataka, preuzet s interneta",5
58.29.24,"Softver za razvojne alate i programske jezike, preuzet s interneta",5
58.29.25,"Aplikacije za opću poslovnu produktivnost i za kućnu uporabu, preuzete s interneta",5
58.29.26,"Ostali aplikacijski softver, preuzet s interneta",5
58.29.3,Softver na internetu,4
58.29.31,Softver operativnih sustava na internetu,5
58.29.32,Mrežni softver na internetu,5
58.29.33,Softver za upravljanje bazom podataka na internetu,5
58.29.34,Softver za razvojne alate i programske jezike na internetu,5
58.29.35,"Aplikacije za opću poslovnu produktivnost i za kućnu uporabu, na internetu",5
58.29.36,Ostale aplikacije na internetu,5
58.29.4,"Usluge upravljanja autorskim pravima na računalni softver, osim računalnih igara",4
58.29.41,"Usluge upravljanja autorskim pravima na korištenje softvera, osim računalnih igara",5
58.29.42,"Autorsko pravo na umnožavanje ili mogućnost dodavanja vlastitog sadržaja ili preinake računalog softvera, osim računalnih igara",5
59,"Usluge proizvodnje filmova, videofilmova i televizijskog programa, snimanja zvučnih zapisa i izdavanja glazbenih zapisa",1
59.1,"Usluge proizvodnje filmova, videofilmova i televizijskog programa",2
59.11,"Usluge proizvodnje filmova, videofilmova i televizijskog programa",3
59.11.1,"Usluge proizvodnje filmova, videofilmova i televizijskog programa",4
59.11.11,Usluge proizvodnje promotivnih i promidžbenih filmova i videofilmova,5
59.11.12,Ostale usluge proizvodnje filmova,5
59.11.13,Ostale usluge proizvodnje videa,5
59.11.14,Ostale usluge proizvodnje televizijskog programa,5
59.11.2,"Filmovi, videofilmovi i televizijski program",4
59.11.21,"Originalni filmovi, videofilmovi i televizijski program",5
59.11.22,Kinematografski filmovi,5
59.11.23,Snimljeni videosadržaji na elektroničkim fizičkim medijima,5
59.11.24,Filmovi i ostali videosadržaji preuzeti s interneta,5
59.11.25,Internetski prijenos videosadržaja (streaming),5
59.11.3,"Prodaja oglasnog prostora ili vremena u filmovima, videoproizvodima i televizijskim proizvodima",4
59.11.30,"Prodaja oglasnog prostora ili vremena u filmovima, videoproizvodima i televizijskim proizvodima",5
59.12,"Usluge nakon proizvodnje filmova, videofilmova i televizijskog programa",3
59.12.0,"Usluge nakon proizvodnje filmova, videofilmova i televizijskog programa",4
59.12.01,Usluge audiovizualne montaže,5
59.12.02,Usluge prijenosa i umnožavanja originalnih snimki,5
59.12.03,Usluge korekcije boja i digitalne restauracije,5
59.12.04,Usluge vizualnih efekata,5
59.12.05,Usluge animacije,5
59.12.06,Usluge dodavanja naslova i podnaslova,5
59.12.07,Usluge montaže i uređenja zvuka,5
59.12.08,"Ostale postprodukcijske usluge za filmove, videofilmove i televizijski program",5
59.13,"Usluge distribucije filmova, videofilmova i televizijskog programa",3
59.13.0,"Usluge distribucije filmova, videofilmova i televizijskog programa",4
59.13.01,Usluge upravljanja autorskim pravima na filmove i prihode od njih,5
59.13.02,"Ostale usluge distribucije filmova, videofilmova i televizijskog programa",5
59.14,Usluge prikazivanja filmova,3
59.14.0,Usluge prikazivanja filmova,4
59.14.00,Usluge prikazivanja filmova,5
59.2,Usluge snimanja zvučnih zapisa i izdavanja glazbenih zapisa,2
59.20,Usluge snimanja zvučnih zapisa i izdavanja glazbenih zapisa,3
59.20.1,Usluge snimanja zvučnih zapisa i snimanja uživo; originalni zvučni zapisi,4
59.20.11,Usluge snimanja zvučnih zapisa (u studiju),5
59.20.12,Usluge snimanja uživo,5
59.20.13,Originalni zvučni zapisi,5
59.20.2,Usluge proizvodnje radioprograma; originalni radioprogrami,4
59.20.21,Usluge proizvodnje radioprograma,5
59.20.22,Originalni radioprogrami,5
59.20.3,Usluge izdavanja glazbenih zapisa,4
59.20.31,Muzikalije,5
59.20.32,Elektronički glazbeni zapisi,5
59.20.33,Snimljeni glazbeni sadržaji na elektroničkim fizičkim medijima,5
59.20.34,Glazba preuzeta s interneta,5
59.20.35,Internetski prijenos glazbe,5
59.20.4,Usluge upravljanja autorskim pravima na korištenje originalnih zvučnih zapisa,4
59.20.40,Usluge upravljanja autorskim pravima na korištenje originalnih zvučnih zapisa,5
60,"Usluge emitiranja radijskog i televizijskog programa, usluge novinskih agencija i ostale usluge distribucije sadržaja",1
60.1,Usluge emitiranja radijskog programa i distribucije audio sadržaja,2
60.10,Usluge emitiranja radijskog programa i distribucije audio sadržaja,3
60.10.1,Usluge emitiranja radijskog programa; emitiranje originalnih programa,4
60.10.11,Usluge emitiranja radijskog programa,5
60.10.12,Originalni radijski programi,5
60.10.2,Programi radijskih kanala,4
60.10.20,Programi radijskih kanala,5
60.10.3,Vrijeme za promidžbu na radiju,4
60.10.30,Vrijeme za promidžbu na radiju,5
60.10.4,Usluge distribucije audio sadržaja,4
60.10.40,Usluge distribucije audio sadržaja,5
60.2,Usluge emitiranja televizijskog programa i video distribucija,2
60.20,Usluge emitiranja televizijskog programa i video distribucija,3
60.20.1,Usluge emitiranja televizijskog programa,4
60.20.11,Usluge emitiranja linearnog televizijskog programa,5
60.20.12,Usluge videa na zahtjev na internetu,5
60.20.13,Ostale usluge videa na zahtjev,5
60.20.2,Originalni televizijski programi,4
60.20.20,Originalni televizijski programi,5
60.20.3,Vrijeme za promidžbu na televiziji,4
60.20.30,Vrijeme za promidžbu na televiziji,5
60.20.4,Usluge video distribucije,4
60.20.40,Usluge video distribucije,5
60.3,Usluge novinskih agencija i ostale usluge distribucije sadržaja,2
60.31,Usluge novinskih agencija,3
60.31.0,Usluge novinskih agencija,4
60.31.01,Usluge novinskih agencija za novine i periodične publikacije,5
60.31.02,Usluge novinskih agencija za audiovizualne medije,5
60.39,Ostale usluge distribucije sadržaja,3
60.39.1,Usluge distribucije softvera na internetu koje nisu povezane s izdavaštvom,4
60.39.11,Usluge distribucije videoigara na internetu koje nisu povezane s izdavaštvom,5
60.39.12,Usluge distribucije ostalog softvera na internetu koje nisu povezane s izdavaštvom,5
60.39.2,Usluge distribucije e-knjiga na internetu koje nisu povezane s izdavaštvom,4
60.39.20,Usluge distribucije e-knjiga na internetu koje nisu povezane s izdavaštvom,5
60.39.3,Usluge distribucije stranica za razmjenu sadržaja,4
60.39.30,Usluge distribucije stranica za razmjenu sadržaja,5
60.39.9,"Ostale usluge distribucije sadržaja, d. n.",4
60.39.90,"Ostale usluge distribucije sadržaja, d. n.",5
K,"TELEKOMUNIKACIJE, RAČUNALNO PROGRAMIRANJE, SAVJETOVANJE I OSTALE INFORMACIJSKE USLUGE",0
61,Telekomunikacijske usluge,1
61.1,"Žičane, bežične i satelitske telekomunikacijske usluge",2
61.10,"Žičane, bežične i satelitske telekomunikacijske usluge",3
61.10.1,Usluge prijenosa podataka i poruka,4
61.10.11,Usluge fiksne telefonije – pristup i uporaba,5
61.10.12,Usluge fiksne telefonije – mogućnosti pozivanja,5
61.10.13,Usluge privatnih mreža u žičanim telekomunikacijskim sustavima,5
61.10.2,Usluge prijenosa za žičanu telekomunikaciju,4
61.10.20,Usluge prijenosa za žičanu telekomunikaciju,5
61.10.3,Usluge prijenosa podataka putem žičanih telekomunikacijskih mreža,4
61.10.30,Usluge prijenosa podataka putem žičanih telekomunikacijskih mreža,5
61.10.4,Internetske usluge putem žičanih telekomunikacijskih mreža,4
61.10.41,Usluge internetske jezgrene mreže,5
61.10.42,Usluge uskopojasnog internetskog pristupa putem žičanih mreža,5
61.10.43,Usluge širokopojasnog internetskog pristupa putem žičanih mreža,5
61.10.44,Ostale internetske usluge putem žičanih telekomunikacijskih mreža,5
61.10.5,Usluge mobilne telekomunikacije i usluge privatnih mreža za bežične telekomunikacijske sustave,4
61.10.51,Usluge privatnih mreža u bežičnim telekomunikacijskim sustavima,5
61.10.52,Mobilne govorne usluge,5
61.10.53,Mobilne usluge slanja tekstualnih sadržaja,5
61.10.54,"Mobilne podatkovne usluge, osim usluga slanja tekstualnih sadržaja",5
61.10.6,Usluge prijenosa za bežičnu telekomunikaciju,4
61.10.60,Usluge prijenosa za bežičnu telekomunikaciju,5
61.10.7,Usluge prijenosa podataka putem bežičnih telekomunikacijskih mreža,4
61.10.70,Usluge prijenosa podataka putem bežičnih telekomunikacijskih mreža,5
61.10.8,Internetske usluge putem bežičnih telekomunikacijskih mreža,4
61.10.81,Usluge uskopojasnog internetskog pristupa putem bežičnih mreža,5
61.10.82,Usluge širokopojasnog internetskog pristupa putem bežičnih mreža,5
61.10.83,Ostale internetske usluge putem bežičnih telekomunikacijskih mreža,5
61.10.9,"Usluge satelitskih telekomunikacija, osim usluga distribucije programa kućanstvima putem satelita",4
61.10.90,"Usluge satelitskih telekomunikacija, osim usluga distribucije programa kućanstvima putem satelita",5
61.2,Usluge preprodaje telekomunikacijskih usluga i usluge posredovanja u telekomunikacijskim uslugama,2
61.20,Usluge preprodaje telekomunikacijskih usluga i usluge posredovanja u telekomunikacijskim uslugama,3
61.20.0,Usluge preprodaje telekomunikacijskih usluga i usluge posredovanja u telekomunikacijskim uslugama,4
61.20.01,Usluge preprodaje telekomunikacijskih usluga,5
61.20.02,Usluge posredovanja u telekomunikacijskim uslugama,5
61.9,Ostale telekomunikacijske usluge,2
61.90,Ostale telekomunikacijske usluge,3
61.90.0,Ostale telekomunikacijske usluge,4
61.90.00,Ostale telekomunikacijske usluge,5
62,"Računalno programiranje, savjetovanje i usluge povezane s njima",1
62.1,Usluge računalnog programiranja,2
62.10,Usluge računalnog programiranja,3
62.10.1,Usluge izrade i razvoja programske opreme,4
62.10.11,Usluge IT dizajna i razvoja aplikacija,5
62.10.12,Usluge IT dizajna i razvoja mreža i sustava,5
62.10.2,Originalni softver,4
62.10.21,Originalni softver za računalne igre,5
62.10.22,Ostali originalni softver,5
62.2,Računalno savjetovanje i usluge upravljanja računalnom opremom,2
62.20,Računalno savjetovanje i usluge upravljanja računalnom opremom,3
62.20.1,Usluge savjetovanja o hardveru,4
62.20.10,Usluge savjetovanja o hardveru,5
62.20.2,Usluge savjetovanja o sustavima i softveru,4
62.20.20,Usluge savjetovanja o sustavima i softveru,5
62.20.3,Usluge tehničke podrške u vezi s računalima,4
62.20.30,Usluge tehničke podrške u vezi s računalima,5
62.20.4,Usluge upravljanja računalnom opremom i sustavima,4
62.20.41,Usluge upravljanja računalnim mrežama,5
62.20.42,Usluge upravljanja računalnim sustavima,5
62.20.5,Usluge savjetovanja o kibernetičkoj sigurnosti,4
62.20.50,Usluge savjetovanja o kibernetičkoj sigurnosti,5
62.9,Ostale usluge u vezi s informacijskom tehnologijom i računalima,2
62.90,Ostale usluge u vezi s informacijskom tehnologijom i računalima,3
